Index,Country,Eigenvector Centrality Difference
Novorossiysk,Russia,1.182877820705115e-05
Jinzhou Port,China,1.1685805188555148e-05
Cristobal,Panama,1.148644329939481e-05
Fredrikstad,Norway,1.144910283345786e-05
Tibar Bay,East Timor,1.109032852315107e-05
Chah Bahar,Iran,1.104045932951968e-05
Tangshan Jingtang,China,1.0947250693130834e-05
Port Elizabeth,South Africa,1.0513315283594316e-05
Teluk Bayur,Indonesia,1.0426131489552927e-05
Beira,Mozambique,1.0336426663364663e-05
Kobenhavn,Denmark,1.0300947250847862e-05
Ancona,Italy,1.0115005396726652e-05
Vitoria Port,Brazil,9.983069488012352e-06
Tanjung Manis,Malaysia,9.83759670473038e-06
Ceuta,Spain,9.70354823677088e-06
Gent (Ghent),Belgium,9.656664108245627e-06
Ferrol,Spain,9.481098032884883e-06
Mellitah (Qasr Ahmed),Libya,9.478909655845136e-06
Rongcheng,China,9.413034637826894e-06
Tarragona,Spain,9.260123318085997e-06
Banjarmasin,Indonesia,9.196997523279444e-06
Imbituba,Brazil,9.17514963890586e-06
Maputo,Mozambique,8.99309153653779e-06
Al Adabiyah,Egypt,8.978595716730754e-06
Philipsburg,St. Maarten,8.92064957787668e-06
Larvik,Norway,8.838023946961343e-06
Howrah,India,8.678540552176724e-06
Durres,Albania,8.673640573959141e-06
Lekki,Nigeria,8.593686758071964e-06
"Fukuyama, Hiroshima",Japan,8.374016517634331e-06
Gijon,Spain,8.27004609189247e-06
Shidao Port,China,7.968137430408297e-06
Dalian,China,7.923004212349394e-06
Banjul,Gambia,7.653931867185714e-06
Bejaia,Algeria,7.36669378493526e-06
Brest,France,7.353153119240427e-06
Misurata (Qasr Ahmed),Libya,7.295470020664429e-06
Nynashamn,Sweden,7.288356258502207e-06
Longoni,Mayotte,7.197891697618351e-06
Skikda,Algeria,7.159999199787286e-06
"Noro, New Georgia",Solomon Islands,7.1544767299163326e-06
Eddystone,U.S.A.,7.112392178179304e-06
Alicante,Spain,6.986714304081979e-06
Yalova,Turkiye,6.917840185422471e-06
Marseille,France,6.768177895237929e-06
Bushehr,Iran,6.566053629494039e-06
Duisburg,Germany,6.246300752086356e-06
Kreekkrak,Netherlands,6.223353433748703e-06
Drammen,Norway,6.105499198128923e-06
Santa Marta,Colombia,6.101486066068852e-06
Kaliningrad,Russia,6.016863103779343e-06
Ravenna,Italy,6.0046452101483624e-06
Burgas,Bulgaria,5.991864439524889e-06
Asaluyeh,Iran,5.959794920097088e-06
Poti,Georgia,5.579327414893424e-06
Ghazaouet,Algeria,5.393999556285825e-06
Haydarpasa,Turkiye,5.384255361932488e-06
Holmsund,Sweden,5.382201125817766e-06
Anjeong,South Korea,5.156012877842458e-06
Rota-Izmit Bay,Turkiye,5.104281582024574e-06
Mina Saqr,United Arab Emirates,5.050009691166808e-06
Noumea,New Caledonia,5.0297651873128e-06
Pohang,South Korea,5.008344238780144e-06
Szczecin,Poland,4.8718618297845476e-06
"Loyang, Singapore",Singapore,4.782119900532437e-06
Imari,Japan,4.74498692850712e-06
Ust-Luga,Russia,4.703831592509269e-06
Bar,Montenegro,4.697147578931564e-06
Willemstad,Curacao,4.681570848155622e-06
Brunsbuttel,Germany,4.670708564900324e-06
Terneuzen,Netherlands,4.66509671605572e-06
Bingazi (Benghazi),Libya,4.445726139400307e-06
Lindo,Denmark,4.304980894302345e-06
Latakia,Syria,4.283600040320382e-06
Haina,Dominican Republic,4.268063052258612e-06
Hodeidah,Yemen,4.24443686406012e-06
Kiel,Germany,4.2328353710931576e-06
Asnaesvaerkets Havn,Denmark,4.218210897294927e-06
"Dumai, Sumatra",Indonesia,4.190871724102407e-06
Tyne,U.K.,4.171276286337231e-06
Okpo/Geoje,South Korea,4.129200202266278e-06
Cagliari,Italy,4.107073676404712e-06
Tuzla,Turkiye,4.102980653187231e-06
Greenock,U.K.,4.016689058699724e-06
Kristiansand,Norway,3.990425813783621e-06
Catania,Italy,3.987171760902533e-06
Douala,Cameroon,3.965154686557305e-06
Gorinchem,Netherlands,3.9297091152043365e-06
Egersund,Norway,3.88580718648739e-06
Vung Tau,Vietnam,3.880981565232601e-06
Cartagena,Spain,3.848366853450864e-06
Gelsenkirchen,Germany,3.8439725805441806e-06
Taranto,Italy,3.7756857054555888e-06
La Goulette Nord (Halqueloued),Tunisia,3.7126837894480656e-06
Holtenau,Germany,3.592582262405692e-06
Marmagao (Marmugao),India,3.5850644731930235e-06
Kakinada,India,3.556812228675381e-06
Sfax,Tunisia,3.5240523281498924e-06
San-Pedro,Ivory Coast,3.5014550769995204e-06
Cai Lan,Vietnam,3.4038484704213305e-06
Monrovia,Liberia,3.362504624435194e-06
Agadir,Morocco,3.2889547856309353e-06
Annaba,Algeria,3.284564960527143e-06
Al Khums,Libya,3.2682901211742056e-06
Tolkamer,Netherlands,3.2032550858155715e-06
Bremen,Germany,3.183026389228225e-06
Altenlingen,Germany,3.110945032122607e-06
Puerto Cortes,Honduras,3.0656364501477096e-06
Hansweert/Schore,Netherlands,3.0476324620791888e-06
Bandar Khomeini,Iran,2.987282130769285e-06
Brake,Germany,2.9437775655513332e-06
Barranquilla,Colombia,2.9173309806580143e-06
Delfzijl,Netherlands,2.8932402564207704e-06
Kalilimenes,Greece,2.8902597127993023e-06
Fujairah,United Arab Emirates,2.8567602831471833e-06
Bojonegara,Indonesia,2.763746498956685e-06
Halmstad,Sweden,2.747559083759563e-06
Big Creek,Belize,2.7388008828523154e-06
Butzfleth,Germany,2.7330609567124415e-06
Dhuba,Saudi Arabia,2.7275009811465102e-06
"Bitung, Sulawesi",Indonesia,2.70180662737057e-06
Dili,East Timor,2.6215194768879253e-06
Rendsburg,Germany,2.5585720983182546e-06
